year,quarter,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,month,Company
2017,3,1749.8068395219802,1751.6417306871533,1747.8490610328638,1749.7701984635085,6531.190781049936,1749.7312676056536,1749.6828233034619,1749.6325309432352,1749.579948783612,1749.7312799288532,1749.6810775924089,1749.6287969303273,1749.5755953366804,1753.6988189223325,1749.7312676056536,1745.7637162889748,1749.6172931547394,1749.7214821066937,1749.6843762463882,1749.3749588201013,1265.1357554417414,1749.7311413544087,1749.6831800398886,1749.5817931556173,42.30761527219159,31.53726791677932,23.835543978782447,0.14925719821021569,-2.72314819081813,-1.9411721317252304,-1.597206827063352,0.05020233644421016,0.1556845921728489,0.10548225572863876,0.05320159364698209,0.14854754791426875,0.19803670507895865,0.30085360648740944,0.4202091335894154,0.006574316018807622,0.013564234516869278,0.028654215814082118,0.009273020198795464,50.42845152045285,50.28025231013702,50.338893678146405,50.343147131011726,50.33330721434787,50.338893678146405,48.94560340523791,48.945959220524294,50.6457998168974,-49.667090224607286,3.837206131333911,3.842370892018793,1749.7536633945085,21.87842405193479,0.516645223441133,8.00832266325224,ACC
2017,4,1741.5304556354915,1743.2357968170918,1739.7976564203182,1741.5256376716807,5075.001090037062,1741.4814453891713,1741.4263799869277,1741.3722396628152,1741.3189017876648,1741.4814663637378,1741.42731373532,1741.3743799477281,1741.3219777199297,1745.0853090406729,1741.4814453891713,1737.87758173767,1741.1633795390019,1741.2996052979165,1741.4078517037349,1741.2489338924868,1174.0,1741.4815567275102,1741.4261143812764,1741.318212933773,40.81495983822597,28.793475003926456,20.60307836821123,0.14722187286071614,-2.896970951282017,-2.557055922244891,-2.225229323162933,0.05415262841768901,0.15948864380798639,0.1053360153902974,0.05240222779848561,0.14690954428713954,0.2168301722258557,0.32691301504251147,0.423675604970569,0.007047387462687549,0.013642317595391695,0.026615287260808394,0.008616295063711966,50.25218454285811,49.93296249918355,49.71057916931183,49.70770874906139,49.715369119679444,49.71057916931183,48.54096881828925,48.54011289876426,49.76837293917348,-49.80404248701694,3.491132365479282,3.484881185960331,1741.519696969697,21.078705917899164,0.4147066380605138,11.013734466971878,ACC
2018,1,1671.911111111111,1673.7853111111112,1669.9932444444444,1671.8574555555556,4265.089777777778,1671.9712133333676,1672.1109155555612,1672.2493148148149,1672.3879427777797,1671.9707592887964,1672.1101543706359,1672.2490194048955,1672.387724736156,1675.9743166309156,1671.9712133333676,1667.968110035819,1672.3350472279335,1672.3373094515273,1672.6853172630651,1672.9323009016612,1174.0,1671.9713853685605,1672.111306296356,1672.3881891919016,39.43755151043382,27.786770900503424,20.57759942839888,-0.3878938034094604,-5.579150590158499,-7.663883304929228,-9.774922562032181,-0.13939508183945828,-0.41696544735959484,-0.2775703655201366,-0.1387053312605039,-0.3881532114414327,-0.5580555555555555,-0.8349000000000001,-1.1123111111111113,-0.016486255436082595,-0.03260978283413741,-0.06508191942320499,-0.02373061684694176,48.41740623243623,48.344729438009594,47.74891276638297,47.755255448383075,47.73865746508104,47.74891276638297,49.115269116380844,49.12129075515213,48.76117510750156,-53.36007135941681,3.8522748815090293,3.8525666666666796,1671.8786703703704,20.465295343758925,0.4651823559517448,1.95,ACC
2018,2,1428.3250833333334,1429.8956041666668,1426.6796770833334,1428.2538749999999,6487.2579166666665,1428.3226833333647,1428.411387500002,1428.503563888889,1428.5959317708348,1428.3234164810692,1428.4132676105457,1428.504121176721,1428.5949880194828,1431.7904107455283,1428.3226833333647,1424.8549559212015,1428.7615800348751,1428.5669736497355,1428.6609837747144,1429.015802659325,1174.0,1428.3227224461245,1428.4104392361678,1428.5948424242279,41.86112407108005,30.87206287937271,22.791586724382704,-0.2576253338594743,-6.26549663027777,-7.612368473721732,-8.906339579701188,-0.08985112947639394,-0.2715715384135216,-0.18172040893712765,-0.09086684276180933,-0.2544653929147739,-0.3590416666666667,-0.5458437500000001,-0.72834375,-0.011431662788184523,-0.023971130250110044,-0.048598456002940445,-0.018105367253285518,48.617930877010465,48.487691166647956,47.790431286231986,47.784323796458196,47.79217024502468,47.790431286231986,48.44974499087833,48.4604341150369,48.719682322314114,-53.296811579027974,3.2529910028455533,3.255708333333347,1428.2763854166667,21.500456900024066,0.46052201763147643,5.0,ACC
2018,3,1504.7675081967213,1506.8907978142076,1502.616349726776,1504.7657595628414,10164.530710382514,1504.6701770492093,1504.5584950819698,1504.4447715846995,1504.3304650273226,1504.671243932072,1504.5576371905256,1504.4432259608302,1504.3274682011925,1509.3099559646332,1504.6701770492093,1500.0303981337854,1504.2098908349385,1504.3589684589044,1504.1312734189614,1504.211541322859,1174.0,1504.6691320214313,1504.5583027322969,1504.3311913561786,42.541068038295094,31.571167154144266,23.70827387365296,0.3196469104726401,-2.630343309879668,-1.815513539846435,-0.9034567083691735,0.11360674154629048,0.3437757308792889,0.23016898933299845,0.11575775963751488,0.32547443709841356,0.456655737704918,0.6868415300546449,0.91272131147541,0.017775983613271592,0.03552895598988839,0.07092858267575484,0.02230600138298722,50.543601874337824,50.17357159704344,49.03171116019863,49.02632079938906,49.04260666669795,49.03171116019863,48.08029076192114,48.06025989415033,49.93476715052119,-50.6869509534286,4.338692818947003,4.345956284153017,1504.7576357012751,21.933595280208877,0.4702153601522327,7.934426229508197,ACC
2018,4,1464.067619680851,1466.2680296985816,1461.8202349290782,1464.0658466312057,9353.400265957447,1464.0879676418697,1464.1074224290817,1464.127408392435,1464.1476994680831,1464.0867135539054,1464.1076414560107,1464.1296563779833,1464.1540111438003,1468.8249421132687,1464.0879676418697,1459.3509931704705,1463.9490784752575,1464.1966328446963,1464.408318157757,1464.633452810474,1174.0,1464.0889199790338,1464.1079488032417,1464.1475294164989,41.73537930675963,31.00760460252841,23.32429075327454,-0.058235233106316876,1.0753857380999108,0.44815902502774957,0.0481384010913554,-0.02092790210529337,-0.06729758989477024,-0.046369687789476866,-0.024354765816936665,-0.07043495355033243,-0.08553856382978724,-0.12576462765957455,-0.16682180851063835,-0.0014543750979186137,-0.002394322055760151,-0.004120549723246736,-0.0037523280147888213,50.06112592817432,50.161930846789254,50.893736409917196,50.89887044596753,50.88449999187836,50.893736409917196,50.73195644364838,50.7457191945794,50.45245615842644,-49.38066100803815,4.545987182647663,4.534452570921998,1464.0513704196217,21.632573748425358,0.5128851702197558,10.983377659574469,ACC
2019,1,1462.6562795698926,1464.4542903225806,1460.8202043010754,1462.6476344086022,9945.29935483871,1462.5794731183043,1462.4949215053798,1462.419253046595,1462.3531376344067,1462.579867872063,1462.5021461091237,1462.431562533149,1462.3648780990673,1466.391694525465,1462.5794731183043,1458.7672517111434,1462.133347603089,1462.900586760132,1463.0054383015738,1463.1148995862327,1174.0,1462.5793205392536,1462.4945720430571,1462.3448960899243,42.23137915856952,30.837874543400538,22.65416680389323,0.18425041356732552,-3.774356883924172,-5.801166490652617,-5.703380623652717,0.07772176293926003,0.21498977299575814,0.1372680100564981,0.06668443408194655,0.18592421533220635,0.3302043010752689,0.44912903225806466,0.5568064516129033,0.011688694998046582,0.022773836856368013,0.0389240118690019,0.011787874527945894,50.14356783487548,49.81652222165875,49.370482370254884,49.37537406153214,49.37073964615535,49.370482370254884,48.55554558938927,48.56048121061944,50.04256150941542,-51.16825222399666,3.6563847338359694,3.6683870967742047,1462.6407096774194,21.608672897792687,0.5070929626017017,1.935483870967742,ACC
2019,2,1621.9071111111111,1623.914588888889,1619.7602333333332,1621.8538888888888,10222.339777777777,1621.9005200000267,1621.9576477777746,1622.005345925926,1622.0429872222207,1621.8999492508055,1621.949728386143,1621.9907271454758,1622.025780001995,1626.1964040665955,1621.9005200000267,1617.6046359334578,1622.1312001816602,1621.7534632628692,1621.796838087575,1622.1625329439812,1174.0,1621.9007090386726,1621.9582270370906,1622.0517088888776,40.18675908664173,29.4944197647206,22.40578583913245,-0.10301958689388302,-3.954746340674366,-4.470431027260729,-3.846037587877658,-0.04977913533749016,-0.12583075118925147,-0.0760516158517613,-0.035052856518866166,-0.09556401467820878,-0.22055555555555556,-0.2821444444444445,-0.32982222222222224,-0.006316360580080531,-0.01177726242191477,-0.01633902696918158,-0.0064136483335055896,49.260828011814034,49.07659748694494,49.263833824687,49.262309633465975,49.26451593457098,49.263833824687,48.96172587380337,48.94770452762617,50.486957989096645,-51.2679989175085,4.215805653827238,4.20547777777779,1621.8429037037035,21.30420310388305,0.5055597911710142,5.0,ACC
2019,3,1548.4728915662652,1550.6745374354562,1546.2519255593804,1548.4542814113597,11275.184380378658,1548.4334358864305,1548.409016781406,1548.3828442340791,1548.3548187392414,1548.4337249000403,1548.4077394241588,1548.3808842944825,1548.353931935874,1553.1393133935906,1548.4334358864305,1543.7275583792705,1548.2460746235274,1548.3061207790458,1548.1760643713415,1548.2660549264622,1174.0,1548.4333804075488,1548.408519076348,1548.3564683734749,40.527723929838665,29.04145195814659,20.80530372292513,0.07830366796892159,-3.51706434991019,-4.979930315670481,-4.194603768904352,0.0259854758815765,0.07979296416636879,0.05380748828479229,0.026952358608554883,0.07502836764005162,0.09940834767641991,0.1608111015490533,0.2180615318416523,0.0044385927307893135,0.00856066474346618,0.01849874299646218,0.00497218277395406,49.911697516643656,49.6772226202394,49.37803179105889,49.37238648701991,49.38153988263707,49.37803179105889,48.840227431492565,48.83584418616488,49.49770413925906,-50.21204578062969,4.477584026416981,4.48058304647161,1548.4602481353988,21.571711174751023,0.5353868639515188,7.935025817555938,ACC
2019,4,1494.876994680851,1496.6029587765956,1493.0244459219857,1494.7993351063828,9735.857712765957,1494.8717819149326,1494.9602393616988,1495.049454787234,1495.1409640957431,1494.871364429597,1494.961208913903,1495.052516472888,1495.1451646095566,1498.5376110228758,1494.8717819149326,1491.2059528069894,1495.3141163202242,1494.9453104003865,1495.301748342695,1495.6165135845858,1174.0,1494.871703160386,1494.9610110077401,1495.1393308752135,41.118750492093184,29.501919172291547,20.87524715254944,-0.256178325037711,-6.592815256070643,-7.957913016642503,-9.366315229414928,-0.08984448430575481,-0.2738001799593031,-0.18395569565354833,-0.0926481366683316,-0.25994928121429994,-0.3529366134751773,-0.5428302304964538,-0.7265957446808511,-0.011137549800752645,-0.021740502503047068,-0.0447730173769541,-0.01671810369991733,48.732595694775746,48.451498499888736,48.00848610717972,48.01434816114079,48.0071258116163,48.00848610717972,48.14080733204431,48.14734389369929,49.32063462458864,-52.76027862880374,3.625027672823808,3.6190381205673843,1494.8089132683215,22.267608928743627,0.49664739692900317,11.03058510638298,ACC
